"Dte.",,"Barris","Taxa per mil
habitants"
"BARCELONA",,,"52.9"
1,,"1. el Raval","105.6"
1,,"2. el Barri Gòtic","140.8"
1,,"3. la Barceloneta","103.1"
1,,"4. Sant Pere, Santa Caterina i la Ribera","106.6"
2,,"5. el Fort Pienc",63
2,,"6. la Sagrada Família","61.5"
2,,"7. la Dreta de l'Eixample","67.4"
2,,"8. l'Antiga Esquerra de l'Eixample","69.6"
2,,"9. la Nova Esquerra de l'Eixample","60.5"
2,,"10. Sant Antoni","56.2"
3,,"11. el Poble Sec - Parc Montjuïc","68.1"
3,,"12. la Marina del Prat Vermell - Zona Franca","30.6"
3,,"13. la Marina de Port","42.8"
3,,"14. la Font de la Guatlla","58.2"
3,,"15. Hostafrancs","64.4"
3,,"16. la Bordeta","47.9"
3,,"17. Sants - Badal","57.1"
3,,"18. Sants","56.9"
4,,"19. les Corts","44.6"
4,,"20. la Maternitat i Sant Ramon","50.7"
4,,"21. Pedralbes",62
5,,"22. Vallvidrera, el Tibidabo i les Planes","32.4"
5,,"23. Sarrià","45.6"
5,,"24. les Tres Torres","37.2"
5,,"25. Sant Gervasi - la Bonanova","43.8"
5,,"26. Sant Gervasi - Galvany","48.2"
5,,"27. el Putxet i el Farró","43.3"
6,,"28. Vallcarca i els Penitents","43.6"
6,,"29. el Coll","44.9"
6,,"30. la Salut","46.4"
6,,"31. la Vila de Gràcia","60.4"
6,,"32. el Camp d'en Grassot i Gràcia Nova",44
7,,"33. el Baix Guinardó","41.5"
7,,"34. Can Baró","41.7"
7,,"35. el Guinardó",45
7,,"36. la Font d'en Fargues","21.5"
7,,"37. el Carmel","36.8"
7,,"38. la Teixonera","47.5"
7,,"39. Sant Genís dels Agudells","51.6"
7,,"40. Montbau","45.7"
7,,"41. la Vall d'Hebron","37.1"
7,,"42. la Clota","39.5"
7,,"43. Horta","36.5"
8,,"44. Vilapicina i la Torre Llobeta","37.5"
8,,"45. Porta","47.6"
8,,"46. el Turó de la Peira","46.7"
8,,"47. Can Peguera","30.1"
8,,"48. la Guineueta","30.8"
8,,"49. Canyelles","18.6"
8,,"50. les Roquetes","55.3"
8,,"51. Verdun",47
8,,"52. la Prosperitat",42
8,,"53. la Trinitat Nova","47.5"
8,,"54. Torre Baró","44.8"
8,,"55. Ciutat Meridiana","62.3"
8,,"56. Vallbona","48.1"
9,,"57. la Trinitat Vella","54.3"
9,,"58. Baró de Viver","33.5"
9,,"59. el Bon Pastor","38.4"
9,,"60. Sant Andreu","30.9"
9,,"61. la Sagrera","40.9"
9,,"62. el Congrés i els Indians","39.2"
9,,"63. Navas","41.3"
10,,"64. el Camp de l'Arpa del Clot","49.7"
10,,"65. el Clot","43.1"
10,,"66. el Parc i la Llacuna del Poblenou","57.7"
10,,"67. la Vila Olímpica del Poblenou","41.9"
10,,"68. el Poblenou","48.2"
10,,"69. Diagonal Mar i el Front Marítim del Poblenou","49.9"
10,,"70. el Besòs i el Maresme","69.2"
10,,"71. Provençals del Poblenou","39.5"
10,,"72. Sant Martí de Provençals","39.9"
10,,"73. la Verneda i la Pau","35.2"
