"Dte.","Barris","Població","Índex RFD
Barcelona = 100"
1,"1. el Raval",47.617,"75,8"
1,"2. el Barri Gòtic",15.269,"108,5"
1,"3. la Barceloneta",15.036,"76,6"
1,"4. Sant Pere, Santa Caterina i la Ribera",22.305,"96,4"
2,"5. el Fort Pienc",31.645,"104,8"
2,"6. la Sagrada Família",51.347,"95,8"
2,"7. la Dreta de l'Eixample",43.344,"165,8"
2,"8. l'Antiga Esquerra de l'Eixample",41.696,"128,9"
2,"9. la Nova Esquerra de l'Eixample",57.711,"103,8"
2,"10. Sant Antoni",38.248,"98,6"
3,"11. el Poble Sec - AEI Parc de Montjuïc",40.217,"74,3"
3,"12. la Marina del Prat Vermell - AEI Zona Franca",1.145,"36,9"
3,"13. la Marina de Port",30.374,"70,4"
3,"14. la Font de la Guatlla",10.355,"83,2"
3,"15. Hostafrancs",15.812,"82,2"
3,"16. la Bordeta",18.430,"74,3"
3,"17. Sants - Badal",24.085,"77,0"
3,"18. Sants",40.889,"88,2"
4,"19. les Corts",46.086,"124,5"
4,"20. la Maternitat i Sant Ramon",23.845,"109,9"
4,"21. Pedralbes",11.763,"250,5"
5,"22. Vallvidrera, el Tibidabo i les Planes",4.635,"151,7"
5,"23. Sarrià",24.614,"199,1"
5,"24. les Tres Torres",16.624,"214,1"
5,"25. Sant Gervasi - la Bonanova",25.511,"188,9"
5,"26. Sant Gervasi - Galvany",46.968,"205,1"
5,"27. el Putxet i el Farró",29.149,"141,0"
6,"28. Vallcarca i els Penitents",15.508,"111,2"
6,"29. el Coll",7.324,"89,0"
6,"30. la Salut",13.213,"114,4"
6,"31. la Vila de Gràcia",50.584,"106,3"
6,"32. el Camp d'en Grassot i Gràcia Nova",34.047,"103,0"
7,"33. el Baix Guinardó",25.476,"90,4"
7,"34. Can Baró",8.938,"88,1"
7,"35. el Guinardó",36.073,"82,7"
7,"36. la Font d'en Fargues",9.443,"95,2"
7,"37. el Carmel",31.498,"56,9"
7,"38. la Teixonera",11.322,"74,5"
7,"39. Sant Genís dels Agudells",6.693,"93,5"
7,"40. Montbau",5.070,"72,3"
7,"41. la Vall d'Hebron",5.613,"92,6"
7,"42. la Clota",568,"89,3"
7,"43. Horta",26.624,"80,9"
8,"44. Vilapicina i la Torre Llobeta",25.499,"65,0"
8,"45. Porta",24.536,"61,4"
8,"46. el Turó de la Peira",15.420,"48,8"
8,"47. Can Peguera",2.267,"51,1"
8,"48. la Guineueta",15.074,"55,9"
8,"49. Canyelles",6.946,"55,6"
8,"50. les Roquetes",15.523,"47,8"
8,"51. Verdun",12.258,"55,4"
8,"52. la Prosperitat",26.184,"54,0"
8,"53. la Trinitat Nova",7.362,"35,6"
8,"54. Torre Baró",2.828,"47,1"
8,"55. Ciutat Meridiana",10.156,"34,5"
8,"56. Vallbona",1.351,"37,8"
9,"57. la Trinitat Vella",10.210,"43,1"
9,"58. Baró de Viver",2.482,"60,2"
9,"59. el Bon Pastor",12.655,"58,0"
9,"60. Sant Andreu",56.682,"75,6"
9,"61. la Sagrera",29.020,"76,8"
9,"62. el Congrés i els Indians",14.148,"70,1"
9,"63. Navas",22.110,"85,8"
10,"64. el Camp de l'Arpa del Clot",38.202,"78,7"
10,"65. el Clot",27.013,"84,7"
10,"66. el Parc i la Llacuna del Poblenou",14.764,"96,8"
10,"67. la Vila Olímpica del Poblenou",9.261,"150,2"
10,"68. el Poblenou",33.579,"95,6"
10,"69. Diagonal Mar i el Front Marítim del Poblenou",13.352,"162,5"
10,"70. el Besòs i el Maresme",23.026,"54,4"
10,"71. Provençals del Poblenou",20.244,"102,8"
10,"72. Sant Martí de Provençals",26.005,"68,3"
10,"73. la Verneda i la Pau",28.678,"57,5"
,"No consta",1,"-"
