Any,Ambit,Titularitat,TipusEquipament,Equipament,Districte,Latitud,Longitud,ObjectesFonsDelMuseu,Nota
2015,"Història i memòria",Privada,"Espais d'interès arquitectònic","Basílica de la Sagrada Família","02. Eixample",41.403188985,2.174826626,8211,
2015,Ciència,Privada,"Museus i col·leccions",CosmoCaixa,"05. Sarrià-Sant Gervasi",41.413267367,2.130658424,26386,
2015,"Arts visuals","Consorci o fundació amb presència municipal","Museus i col·leccions","Fundació Antoni Tàpies","02. Eixample",41.391522171,2.163757744,1889,"Dades a 31 de desembre de 2014,"
2015,"Arts visuals",Privada,"Museus i col·leccions","Fundació Foto Colectania","01. Ciutat Vella",41.3876349,2.1827391,27466,
2015,"Arts visuals",Privada,"Museus i col·leccions","Fundació Fran Daurel","03. Sants-Montjuïc",41.369116603,2.146724957,410,
2015,"Arts visuals","Consorci o fundació amb presència municipal","Museus i col·leccions","Fundació Joan Miró","03. Sants-Montjuïc",41.36863,2.159851,21661,
2015,"Arts visuals",Privada,"Museus i col·leccions","Fundació Suñol","02. Eixample",41.395557762,2.161210239,1248,
2015,"Història i memòria",Privada,"Museus i col·leccions","Hash Marihuana Cáñamo & Hemp Museum","01. Ciutat Vella",41.380783393,2.180139311,1200,
2015,"Arts visuals","Consorci o fundació amb presència municipal","Museus i col·leccions","Museu d'Art Contemporani de Barcelona. MACBA","01. Ciutat Vella",41.383145956,2.167830774,6096,
2015,"Història i memòria",Municipal,"Museus i col·leccions","Museu d'Història de Barcelona. MUHBA","01. Ciutat Vella",41.384316,2.177521,68322,
2015,"Història i memòria","Pública no municipal","Museus i col·leccions","Museu d'Història de Catalunya","01. Ciutat Vella",41.380668608,2.185503480,7825,
2015,Ciència,"Consorci o fundació amb presència municipal","Museus i col·leccions","Museu de Ciències Naturals de Barcelona","10. Sant Martí",41.410779883,2.220482541,3090646,
2015,"Història i memòria",Privada,"Museus i col·leccions","Museu de l'Eròtica","01. Ciutat Vella",41.382282529,2.172714946,800,
2015,"Història i memòria",Municipal,"Museus i col·leccions","Museu de la Música","02. Eixample",41.398366625,2.184867722,32836,
2015,"Arts visuals",Municipal,"Museus i col·leccions","Museu del Disseny de Barcelona","10. Sant Martí",41.402569757,2.188032505,83971,
2015,"Arts visuals",Privada,"Museus i col·leccions","Museu Europeu d'Art Modern. MEAM","01. Ciutat Vella",41.384912046,2.180305787,1039,
2015,"Arts visuals",Municipal,"Museus i col·leccions","Museu Frederic Marès","01. Ciutat Vella",41.384173998,2.176939205,55000,
2015,Ciència,Privada,"Museus i col·leccions","Museu Geològic del Seminari de Barcelona","02. Eixample",41.3882329,2.1629603,82080,
2015,"Història i memòria","Consorci o fundació amb presència municipal","Museus i col·leccions","Museu Marítim de Barcelona. MMB","01. Ciutat Vella",41.375949813,2.176041471,260950,
2015,"Arts visuals","Consorci o fundació amb presència municipal","Museus i col·leccions","Museu Nacional d'Art de Catalunya. MNAC","03. Sants-Montjuïc",41.368853566,2.153363173,321858,
2015,"Història i memòria",Municipal,"Museus i col·leccions","Museu Olímpic i de l'Esport Joan Antoni Samaranch","03. Sants-Montjuïc",41.366249336,2.157076095,1903,
2015,"Arts visuals",Municipal,"Museus i col·leccions","Museu Picasso","01. Ciutat Vella",41.385152312,2.180834795,4328,
2015,"Història i memòria","Pública no municipal","Espais d'interès arquitectònic","Palau Güell","01. Ciutat Vella",41.3791747,2.1744127,206,
2015,"Història i memòria",Municipal,"Espais d'interès arquitectònic","Pavelló Mies van der Rohe","03. Sants-Montjuïc",41.370666,2.149491,4633,
2015,"Història i memòria",Municipal,"Museus i col·leccions","Reial Monestir de Santa Maria de Pedralbes","04. Les Corts",41.395574166,2.112056853,4460,
2015,Ciència,Municipal,"Museus i col·leccions","Zoo de Barcelona","01. Ciutat Vella",41.386823,2.190346,2016,
