"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"G009","Serveis religiosos","Esglésies evangèliques",431952658,4588144006,431860714,4587943017,"2.18435","41.44017","Església Evangèlica Centre Bíblic Internacional Barcelona",8,52,"Nou Barris","la Prosperitat","C Argullós, 8*10",933538782
"G009","Serveis religiosos","Esglésies evangèliques",427278387,4584545953,427186485,4584344998,"2.128838","41.407354","Església Evangèlica de parla Anglesa Saint George's Church",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Horaci, 38",934178867
"G008","Serveis religiosos","Esglésies catòliques",432187999,4582282924,432096051,4582081989,"2.187825","41.387402","Parròquia Castrense de Plaça",1,2,"Ciutat Vella","el Barri Gòtic","Parc Ciutadella, ",933169452
"G009","Serveis religiosos","Esglésies evangèliques",430566909,4582019084,430474976,4581818152,"2.168468","41.384887","Església Evangèlica Equatoriana - Unidos en Cristo",1,1,"Ciutat Vella","el Raval","C Tallers, 26","null"
"G009","Serveis religiosos","Esglésies evangèliques",432457695,4583263077,432365745,4583062133,"2.190941","41.396252","Església Evangèlica Visió Bíblica Missionera Amor en Cristo",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","C Pallars, 101",698230592
"G008","Serveis religiosos","Esglésies catòliques",428092417,4583770925,428000507,4583569977,"2.138668","41.400447","Monestir de Santa Maria Magdalena",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Vallmajor, 29",932011907
"G003","Serveis religiosos","Centres budistes",429405511,4582743435,429313589,4582542496,"2.154495","41.39131","Fundació Casa del Tibet",2,8,"Eixample","l'Antiga Esquerra de l'Eixample","C Rosselló, 181",932075966
"G008","Serveis religiosos","Esglésies catòliques",429757621,"4582072.6",429665696,4581871667,"2.158784","41.385299","Església de la Mare de Déu del Roser",2,8,"Eixample","l'Antiga Esquerra de l'Eixample","C Casanova, 67","null"
"G009","Serveis religiosos","Esglésies evangèliques",431038445,4586222162,430946509,4586021191,"2.173628","41.422783","Església Evangèlica Assemblea de Germans La Bisbal",7,35,"Horta-Guinardó","el Guinardó","C Mascaró, 54 bis","null"
"G008","Serveis religiosos","Esglésies catòliques",428651148,4580557405,428559232,4580356487,"2.14573","41.371554","Parròquia de Santa Dorotea",3,14,"Sants-Montjuïc","la Font de la Guatlla","C Santa Dorotea, 5",934233033
"G009","Serveis religiosos","Esglésies evangèliques",432260391,4587762637,432168444,4587561651,"2.188076","41.436761","Església Evangèlica Comunitat Cristiana Vida Nova de Barcelona",9,60,"Sant Andreu","Sant Andreu","C Matagalls, 12",606085331
"G009","Serveis religiosos","Esglésies evangèliques","432030.52",4585118972,431938574,"4584918.01","2.185623","41.412932","Església Evangèlica de Betlem",10,64,"Sant Martí","el Camp de l'Arpa del Clot","C Nació, 24",934351763
"G009","Serveis religiosos","Esglésies evangèliques",427967748,4579214434,427875838,4579013528,"2.137719","41.359398","Església Evangèlica Presbiteriana Coreana Jeilkyohye",3,13,"Sants-Montjuïc","la Marina de Port","C Mecànica, 22",934316182
"G008","Serveis religiosos","Esglésies catòliques",429026333,4584792098,428934415,"4584591.14","2.149719","41.409728","Monestir de la Divina Providència",6,30,"Gràcia","la Salut","C Albigesos, 6",932182632
"G008","Serveis religiosos","Esglésies catòliques",427269796,4580963178,427177893,4580762256,"2.129166","41.375085","Parròquia de la Mare de Déu dels Dolors",3,17,"Sants-Montjuïc","Sants - Badal","C Begur, 8",934313840
"G008","Serveis religiosos","Esglésies catòliques",434765153,4585463092,434673182,4585262126,"2.218303","41.416258","Parròquia de Sant Pere Ermengol",10,70,"Sant Martí","el Besòs i el Maresme","C Lluís Borrassà, 20",933132840
"G003","Serveis religiosos","Centres budistes",431188447,4586183518,"431096.51",4585982547,"2.175427","41.422448","Centre Budista Círculo Niguma",7,35,"Horta-Guinardó","el Guinardó","C Varsòvia, 52*54","null"
"G008","Serveis religiosos","Esglésies catòliques",429915169,4582839036,429823242,4582638096,"2.160579","41.392215","Església del Sagrat Cor",2,7,"Eixample","la Dreta de l'Eixample","C Mallorca, 232",932152584
"G006","Serveis religiosos","Comunitats ortodoxes",429700184,4582290697,429608259,4582089762,"2.158072","41.387258","Parròquia de Protecció de la Mare de Déu - Patriarcat de Sèrbia",2,8,"Eixample","l'Antiga Esquerra de l'Eixample","C Aragó, 181",934532508
"G008","Serveis religiosos","Esglésies catòliques",426478265,4583041371,"426386.37","4582840.43","2.119449","41.39373","Església dels Caputxins de Sarrià",5,23,"Sarrià-Sant Gervasi","Sarrià","C Cardenal Vives i Tutó, 2*16",932043458
"G006","Serveis religiosos","Comunitats ortodoxes","428677.09",4585174402,428585175,4584973441,"2.145496","41.41314","Parròquia de l'Anunciació a la Mare de Déu - Patriarcat de Moscou",6,28,"Gràcia","Vallcarca i els Penitents","C Mare de Déu dels Reis, 12","null"
"G010","Serveis religiosos","Mesquites","431275.77",4582298459,431183831,4582097524,"2.176914","41.387464","Centre Islàmic Al Qaim",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","C Sant Pere Mitjà, 21 bis","null"
"G008","Serveis religiosos","Esglésies catòliques",431524865,4584595862,431432924,4584394905,"2.179632","41.408177","Parròquia de Sant Ignasi de Loiola",2,6,"Eixample","la Sagrada Família","C Provença, 544",934503871
"G009","Serveis religiosos","Esglésies evangèliques",430189306,4588300035,430097378,4588099045,"2.163227","41.441424","Església Evangèlica de Filadèlfia - Verdun",8,49,"Nou Barris","Canyelles","C Víctor Jara, 1","null"
"G010","Serveis religiosos","Mesquites",432458136,4589664801,432366188,4589463797,"2.19023","41.45391","Associació Cultural dels Musulmans Africans de Barcelona",9,57,"Sant Andreu","la Trinitat Vella","C Pare Pérez del Pulgar, 26","null"
"G010","Serveis religiosos","Mesquites",431609087,4582529912,431517145,4582328975,"2.180874","41.389577","Comunitat Musulmana Assafa",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","C Portal Nou, 55","null"
"G008","Serveis religiosos","Esglésies catòliques",431097187,4581860326,431005249,4581659395,"2.174828","41.383503","Oratori de Sant Felip Neri",1,2,"Ciutat Vella","el Barri Gòtic","Pl Sant Felip Neri, 5",933173116
"G008","Serveis religiosos","Esglésies catòliques",426908341,4584484398,426816443,4584283444,"2.124418","41.406766","Escola Pia de Sarrià-Calassanç-Església",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Immaculada, 25",932120908
"G008","Serveis religiosos","Esglésies catòliques",425950336,4583246042,425858446,"4583045.1","2.11311","41.395525","Monestir de Santa Maria de Pedralbes",4,21,"Les Corts","Pedralbes","Bda Monestir, 1*15",932037779
"G008","Serveis religiosos","Esglésies catòliques",429164677,4581087744,429072757,4580886821,"2.151808","41.376376","Parròquia de Sant Ferran",2,10,"Eixample","Sant Antoni","G.V. Corts Catalanes, 406",934239746
