lon;lat;district;neighborhood;avg_price
2.1220484655;41.3805342859;les corts;la maternitat i sant ramon;4.0
2.17833995819;41.4633602165;nou barris;ciutat meridiana;4.0
2.17901;41.45835;nou barris;torre baró;1.0
2.18004454009;41.4527035765;nou barris;torre baró;2.0
2.17619;41.45379;nou barris;torre baró;2.0
2.18624;41.4495099;nou barris;la trinitat nova;2.0
2.19063;41.45097;sant andreu;la trinitat vella;3.0
2.1859099;41.45068;nou barris;la trinitat nova;1.0
2.18895077705;41.4060099103;sant martí;el clot;2.0
2.19213;41.45008;sant andreu;la trinitat vella;1.0
2.187517;41.388111;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.19958305359;41.4499642469;sant andreu;la trinitat vella;1.0
2.17694444444;41.3825;ciutat vella;el barri gòtic;3.0
2.20065593333;41.3885725509;sant martí;la vila olímpica del poblenou;2.0
2.17708;41.44577;nou barris;les roquetes;1.0
2.17691;41.44726;nou barris;les roquetes;2.0
2.17670917511;41.4461845715;nou barris;les roquetes;1.0
2.17404;41.4442;nou barris;les roquetes;1.0
2.17727;41.44517;nou barris;verdun;1.0
2.18241;41.44541;nou barris;la prosperitat;2.0
2.17885;41.44806;nou barris;les roquetes;1.0
2.1822499;41.44868;nou barris;la trinitat nova;1.0
2.17837;41.44401;nou barris;verdun;2.0
2.17529296875;41.4462489082;nou barris;les roquetes;1.0
2.17749;41.44428;nou barris;verdun;1.0
2.18212;41.44438;nou barris;la prosperitat;2.0
2.1859099;41.44701;nou barris;la trinitat nova;3.0
2.1782977;41.4445932;nou barris;verdun;2.0
2.19344;41.44639;sant andreu;sant andreu;1.0
2.20275;41.44656;sant andreu;el bon pastor;1.0
2.20004;41.44634;sant andreu;baró de viver;1.0
2.18848228167;41.40856762;sant martí;el clot;2.0
2.15578;41.39872;gràcia;la vila de gràcia;1.0
2.14555555556;41.4402777778;horta-guinardó;horta;1.0
2.17477798462;41.4038411876;eixample;la sagrada família;1.0
2.16655;41.4403099;nou barris;la guineueta;1.0
2.171986;41.441342;nou barris;la guineueta;2.0
2.17019;41.44317;nou barris;canyelles;1.0
2.16935;41.44385;nou barris;canyelles;1.0
2.178675;41.4438833333;nou barris;la prosperitat;1.0
2.178675;41.4438833333;nou barris;la prosperitat;4.0
2.17656;41.44177;nou barris;verdun;1.0
2.17719;41.44098;nou barris;la prosperitat;2.0
2.17489;41.44276;nou barris;verdun;2.0
2.17384;41.4409599;nou barris;verdun;1.0
2.17971;41.44286;nou barris;la prosperitat;2.0
2.17742264271;41.4405629022;nou barris;la prosperitat;1.0
2.17502132682;41.4428149664;nou barris;verdun;2.0
2.17631;41.44197;nou barris;verdun;1.0
2.17417;41.44139;nou barris;verdun;4.0
2.17673;41.44045;nou barris;la prosperitat;2.0
2.17604970352;41.4401462949;nou barris;verdun;1.0
2.185954;41.4433853;nou barris;la prosperitat;2.0
2.17456;41.44218;nou barris;verdun;2.0
2.18439;41.44292;nou barris;la prosperitat;1.0
2.18050831612;41.4437024152;nou barris;la prosperitat;2.0
2.17807;41.43962;nou barris;la prosperitat;2.0
2.17793;41.43924;nou barris;la prosperitat;1.0
2.1826799;41.4436684;nou barris;la prosperitat;2.0
2.18165898378;41.4417816595;nou barris;la prosperitat;1.0
2.17636585236;41.4407800573;nou barris;verdun;2.0
2.18107;41.4421;nou barris;la prosperitat;2.0
2.1873999;41.43977;sant andreu;sant andreu;1.0
2.18788100763;41.4394615068;sant andreu;sant andreu;1.0
2.19816943586;41.4409561097;sant andreu;el bon pastor;1.0
2.19305992126;41.4396540602;sant andreu;sant andreu;1.0
2.19114;41.44003;sant andreu;sant andreu;1.0
2.20022;41.4427499;sant andreu;el bon pastor;2.0
2.19827882;41.4405922533;sant andreu;el bon pastor;1.0
2.19984105372;41.4406479455;sant andreu;el bon pastor;1.0
2.2002201;41.442749;sant andreu;el bon pastor;3.0
2.19897917706;41.4399043541;sant andreu;el bon pastor;1.0
2.1981599149;41.440529303;sant andreu;el bon pastor;2.0
2.19816185;41.44014691;sant andreu;el bon pastor;2.5
2.16752;41.38791;eixample;la dreta de l'eixample;1.0
2.198521;41.440414;sant andreu;el bon pastor;2.0
2.19841362751;41.440123238;sant andreu;el bon pastor;2.0
2.20153733434;41.4429872014;sant andreu;el bon pastor;1.0
2.20003;41.44217;sant andreu;el bon pastor;1.0
2.2016101;41.4392891;sant andreu;el bon pastor;1.0
2.20676;41.4421;sant andreu;el bon pastor;1.0
2.20467;41.44086;sant andreu;el bon pastor;1.0
2.2058;41.44216;sant andreu;el bon pastor;1.0
2.20374584198;41.4397747037;sant andreu;el bon pastor;2.0
2.18333;41.3833;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.16806;41.4303;nou barris;vilapicina i la torre llobeta;2.0
2.17508;41.4084999;eixample;la sagrada família;2.0
2.13213199432;41.4341875531;horta-guinardó;montbau;2.0
2.13134765625;41.4427263777;horta-guinardó;montbau;2.0
2.14233398438;41.4427263777;horta-guinardó;horta;2.0
2.15243048452;41.4361171403;horta-guinardó;horta;2.66666666667
2.15385;41.4353;horta-guinardó;horta;1.0
2.15892189796;41.4373083886;horta-guinardó;horta;1.0
2.1533776275;41.4367360842;horta-guinardó;horta;1.0
2.16573333;41.43700833;nou barris;la guineueta;2.0
2.16893;41.38849;eixample;la dreta de l'eixample;2.0
2.16122;41.43595;horta-guinardó;horta;2.0
2.16096;41.4365;horta-guinardó;horta;1.0
2.17018;41.43859;nou barris;la guineueta;2.0
2.167489928;41.438535433;nou barris;la guineueta;2.0
2.1700499;41.43945;nou barris;la guineueta;2.5
2.17239;41.43738;nou barris;la guineueta;2.0
2.16831;41.43734;nou barris;la guineueta;2.0
2.16657;41.43779;nou barris;la guineueta;1.0
2.17144;41.43486;nou barris;el turó de la peira;1.0
2.17191451843;41.4344771215;nou barris;el turó de la peira;1.0
2.1730599;41.4373093;nou barris;la guineueta;2.0
2.1798601;41.4389114;nou barris;porta;1.0
2.1718799;41.43422;nou barris;el turó de la peira;4.0
2.18106788999;41.4351705616;nou barris;porta;1.5
2.12248830316;41.3806553138;les corts;la maternitat i sant ramon;2.0
2.18191789854;41.4360598364;nou barris;porta;3.0
2.17399;41.44019;nou barris;verdun;2.0
2.17389;41.44062;nou barris;verdun;2.0
2.17385377;41.44096504;nou barris;verdun;1.0
2.17582;41.44086;nou barris;verdun;1.0
2.1800965;41.4353693;nou barris;porta;2.0
2.19125;41.4359611111;sant andreu;sant andreu;1.0
2.18962;41.4352684;sant andreu;sant andreu;1.5
2.18676;41.4377;sant andreu;sant andreu;1.0
2.18842083271;41.4347867973;sant andreu;sant andreu;1.0
2.19126;41.43841;sant andreu;sant andreu;2.0
2.14988;41.37591;eixample;la nova esquerra de l'eixample;2.0
2.18701;41.43842;sant andreu;sant andreu;1.0
2.18913;41.43533;sant andreu;sant andreu;1.0
2.18810319901;41.4354273753;sant andreu;sant andreu;1.0
2.19227;41.43915;sant andreu;sant andreu;2.0
2.18981;41.43586;sant andreu;sant andreu;1.5
2.18262;41.44072;nou barris;la prosperitat;3.0
2.19276;41.43789;sant andreu;sant andreu;1.0
2.19148107135;41.4376332855;sant andreu;sant andreu;2.0
2.19076;41.4376;sant andreu;sant andreu;2.0
2.19082;41.43578;sant andreu;sant andreu;1.0
2.1983799;41.4388099;sant andreu;el bon pastor;4.0
2.18986809254;41.437619173;sant andreu;sant andreu;1.0
2.1890299;41.43807;sant andreu;sant andreu;2.0
2.18945;41.43715;sant andreu;sant andreu;2.0
2.19062561073;41.4366649091;sant andreu;sant andreu;2.0
2.19050645828;41.4378926398;sant andreu;sant andreu;1.0
2.18937;41.43598;sant andreu;sant andreu;1.0
2.2033821946;41.4373003454;sant andreu;el bon pastor;1.0
2.1984499;41.43804;sant andreu;el bon pastor;2.0
2.17638888889;41.3838888889;ciutat vella;el barri gòtic;2.0
2.14424;41.43406;horta-guinardó;montbau;2.0
2.16;41.3686111111;sants-montjuïc;el poble sec;1.0
2.14244;41.4303;horta-guinardó;montbau;2.0
2.14618574;41.4259105;horta-guinardó;la vall d'hebron;1.0
2.14145;41.4323;horta-guinardó;montbau;1.0
2.14392;41.434;horta-guinardó;montbau;1.0
2.14385;41.43418;horta-guinardó;montbau;1.0
2.14286;41.43226;horta-guinardó;montbau;1.0
2.14733;41.43374;horta-guinardó;la vall d'hebron;2.0
2.15208469329;41.4311530888;horta-guinardó;la vall d'hebron;3.0
2.14793;41.43117;horta-guinardó;la vall d'hebron;2.0
2.14921;41.43325;horta-guinardó;la vall d'hebron;2.0
2.14823;41.4341;horta-guinardó;la vall d'hebron;1.0
2.1585;41.43257;horta-guinardó;horta;2.0
2.14882;41.4316699;horta-guinardó;la vall d'hebron;2.5
2.15969;41.433;horta-guinardó;horta;2.0
2.155095;41.43358;horta-guinardó;horta;1.0
2.16091667105;41.4336407771;horta-guinardó;horta;1.0
2.1621;41.43001;horta-guinardó;horta;2.0
2.16256;41.4301699;horta-guinardó;horta;2.0
2.16073;41.43072;horta-guinardó;horta;2.0
2.16064;41.4308;horta-guinardó;horta;1.5
2.16228;41.42965;horta-guinardó;horta;4.0
2.1636099;41.43172;nou barris;el turó de la peira;2.0
2.16289066444;41.4304471922;horta-guinardó;horta;1.0
2.16314822024;41.4306477856;horta-guinardó;horta;1.0
2.16298;41.43021;horta-guinardó;horta;2.0
2.1607299;41.4307213;horta-guinardó;horta;2.0
2.16273063477;41.4306000157;horta-guinardó;horta;1.0
2.16273;41.4302711;horta-guinardó;horta;2.0
2.16039;41.43018;horta-guinardó;horta;1.0
2.16084;41.4328999;horta-guinardó;horta;1.0
2.1626;41.4299;horta-guinardó;horta;2.0
2.16070175171;41.4295835603;horta-guinardó;horta;2.0
